cache,context,kv_allocated_bytes,median_ms,p10_ms,p90_ms,attention_key_len,mask_passed,kv_expanded,kv_bytes
dynamic,517,11911680,8.221520503866486,7.676437507325318,8.523266299744137,568,False,False,11911680
dynamic,1029,23708160,8.302916503453162,7.822432793909684,8.504836904467084,1080,False,False,23708160
dynamic,2053,47301120,8.671812000102364,7.992124998418149,9.164871196844615,2104,False,False,47301120
dynamic,4101,94487040,9.206916503899265,8.601671108044684,9.430762202828191,4152,False,False,94487040
dynamic,8197,188858880,10.619104003126267,10.194062799564563,11.198678599612322,8248,False,False,188858880
dynamic,16389,377602560,12.495187998865731,12.119650004024152,12.81393749959534,16440,False,False,377602560
dynamic,32773,755089920,17.958167001779657,17.740229798073415,18.25812859897269,32824,False,False,755089920
static,517,13086720,9.43702099903021,9.112962801009417,9.927604098629672,568,True,True,11911680
static,1029,24883200,9.594209004717413,9.315124996646773,9.932700291392393,1080,True,True,23708160
static,2053,48476160,10.321249996195547,10.061041699373163,10.518587501428556,2104,True,True,47301120
static,4101,95662080,11.565645996597596,11.218511890911032,11.816108404309489,4152,True,True,94487040
static,8197,190033920,14.1009795042919,13.150100303755607,14.846229505201336,8248,True,True,188858880
static,16389,378777600,19.701333498232998,18.733133004570846,21.109124706708826,16440,True,True,377602560
static,32773,756264960,32.08108349645045,29.973237494414207,33.6380169930635,32824,True,True,755089920
