mode,b_tokens,step,gap_ms
alone,0,0,14.624579999996001
alone,0,1,14.76990200000472
alone,0,2,14.858771000000104
alone,0,3,14.895512999999028
alone,0,4,14.77532300000206
alone,0,5,15.908447999997577
alone,0,6,16.303837999998905
alone,0,7,15.721490000004223
alone,0,8,15.654273999999191
alone,0,9,14.949498000000006
alone,0,10,16.534590999995658
alone,0,11,15.696533000003399
alone,0,12,16.07207699999691
alone,0,13,15.22579400000268
alone,0,14,16.60282299999949
alone,0,15,14.79277899999687
alone,0,16,15.756064000001402
alone,0,17,15.063637000004348
alone,0,18,15.401414999999474
alone,0,19,15.060723999994252
alone,0,20,15.62283300000189
alone,0,21,14.830797000001894
alone,0,22,15.066327999996076
alone,0,23,15.43444700000407
alone,0,24,14.80121600000217
alone,0,25,14.949969999996426
alone,0,26,15.004928000003304
alone,0,27,15.842354999996644
alone,0,28,17.78178800000063
alone,0,29,16.78892300000001
alone,0,30,18.72466700000075
alone,0,31,15.288513000001558
alone,0,32,16.41529399999797
alone,0,33,19.437351000000547
alone,0,34,18.01216999999866
alone,0,35,17.345679999998254
alone,0,36,17.035613000004446
alone,0,37,19.083922999996616
alone,0,38,16.644996000003687
alone,0,39,15.254149999996969
alone,0,40,15.040231000000404
alone,0,41,14.8674650000018
alone,0,42,16.386208000000124
alone,0,43,15.252455999998915
alone,0,44,15.48871899999682
alone,0,45,14.364929000002746
alone,0,46,14.337298999997472
alone,0,47,15.23527100000166
alone,0,48,15.331811000002915
alone,0,49,15.321666999994932
alone,0,50,14.683802000000412
alone,0,51,14.693108999999538
alone,0,52,14.40152100000347
alone,0,53,14.501606999999694
alone,0,54,14.357007999997506
alone,0,55,14.660801000005108
alone,0,56,14.428310999996086
alone,0,57,14.514361000003362
alone,0,58,16.588561999995477
alone,0,59,15.293776000000037
alone,0,60,14.753529000003596
alone,0,61,14.873416999996891
alone,0,62,14.875983999999676
alone,0,63,15.229064999999764
alone,0,64,14.85486500000377
alone,0,65,14.761268999997412
alone,0,66,16.019982000003097
alone,0,67,14.702673999998694
alone,0,68,14.672775999997612
alone,0,69,15.730250000004276
alone,0,70,14.464142999997875
alone,0,71,14.317595999997934
alone,0,72,14.465495000003159
alone,0,73,14.237197999996454
alone,0,74,14.219418000003259
alone,0,75,14.253852999999594
alone,0,76,14.25585300000165
alone,0,77,14.439101999997206
alone,0,78,14.719221999996535
alone,0,79,14.38140300000157
alone,0,80,14.223589000003756
alone,0,81,14.359051999996097
alone,0,82,14.464209999999866
alone,0,83,15.306328000001201
alone,0,84,14.575604000000908
alone,0,85,14.719352999996715
alone,0,86,14.56282500000583
alone,0,87,14.190887999994573
alone,0,88,14.988778000002867
alone,0,89,14.43807999999791
alone,0,90,14.440599000003829
alone,0,91,14.430382000000463
alone,0,92,14.779433999997593
alone,0,93,15.203458999998531
alone,0,94,14.572868000001904
alone,0,95,14.457632000002718
alone,0,96,14.386403999999686
alone,0,97,14.373983999995232
alone,0,98,14.71178500000292
alone,0,99,14.458912000002044
colocated,4096,0,19.62615699999759
colocated,4096,1,24.438830999997663
colocated,4096,2,17.786472000004494
colocated,4096,3,13.81952499999528
colocated,4096,4,12.670014000001117
colocated,4096,5,12.715030000002514
colocated,4096,6,12.977442999996924
colocated,4096,7,12.83213399999994
colocated,4096,8,12.947353000001272
colocated,4096,9,13.191478999999617
colocated,4096,10,13.001293000002079
colocated,4096,11,13.05557299999549
colocated,4096,12,12.916686000004063
colocated,4096,13,12.930296000000396
colocated,4096,14,13.200621999999385
colocated,4096,15,14.86034500000244
colocated,4096,16,13.119766999999172
colocated,4096,17,13.939374999999643
colocated,4096,18,13.129605999999683
colocated,4096,19,13.976178999996591
colocated,4096,20,129.24319100000048
colocated,4096,21,14.222168000003421
colocated,4096,22,15.396574999996915
colocated,4096,23,16.899698999999657
colocated,4096,24,14.495809000003135
colocated,4096,25,14.501152000001127
colocated,4096,26,14.209573999998781
colocated,4096,27,14.095730000001083
colocated,4096,28,14.249752999994314
colocated,4096,29,14.272690000005639
colocated,4096,30,14.291021999994769
colocated,4096,31,15.148090000003833
colocated,4096,32,16.44186299999717
colocated,4096,33,19.1001630000045
colocated,4096,34,19.23602099999755
colocated,4096,35,19.04466500000268
colocated,4096,36,18.292572000000007
colocated,4096,37,14.669106999996018
colocated,4096,38,14.802115000001947
colocated,4096,39,15.454376999997521
colocated,4096,40,14.455146000003083
colocated,4096,41,14.502967999995064
colocated,4096,42,14.559407000000135
colocated,4096,43,14.90920200000545
colocated,4096,44,14.6784370000006
colocated,4096,45,14.76892899999882
colocated,4096,46,14.59425999999553
colocated,4096,47,14.443146000004958
colocated,4096,48,14.492673999995986
colocated,4096,49,14.319587999999328
colocated,4096,50,17.197843000005264
colocated,4096,51,14.676476999994748
colocated,4096,52,14.283218999999292
colocated,4096,53,14.205307000004552
colocated,4096,54,14.661203999999373
colocated,4096,55,14.815937999998141
colocated,4096,56,14.567825000000312
colocated,4096,57,14.834356000001492
colocated,4096,58,14.910571999998012
colocated,4096,59,15.89694799999819
colocated,4096,60,14.863207000004763
colocated,4096,61,14.418608999996252
colocated,4096,62,14.640260000000183
colocated,4096,63,15.163934000000268
colocated,4096,64,14.519479000000501
colocated,4096,65,15.10623500000463
colocated,4096,66,14.639259999995602
colocated,4096,67,14.788205000002108
colocated,4096,68,14.700044000001355
colocated,4096,69,14.800498999996137
colocated,4096,70,14.863752000003672
colocated,4096,71,14.517048999998394
colocated,4096,72,15.320029000001512
colocated,4096,73,14.619514999999694
colocated,4096,74,14.994119999997224
colocated,4096,75,14.88744800000319
colocated,4096,76,15.312975999997036
colocated,4096,77,15.670489999997983
colocated,4096,78,15.257396000002643
colocated,4096,79,15.002932999998109
colocated,4096,80,14.580338999998332
colocated,4096,81,14.537883000002694
colocated,4096,82,14.304825000003518
colocated,4096,83,14.185943999997619
colocated,4096,84,14.761544999998932
colocated,4096,85,14.917539000002478
colocated,4096,86,14.781806999998537
colocated,4096,87,14.74492100000191
colocated,4096,88,14.251295999997637
colocated,4096,89,14.853586999997503
colocated,4096,90,14.988546000004987
colocated,4096,91,14.81160099999812
colocated,4096,92,15.043462999997814
colocated,4096,93,14.700864000005254
colocated,4096,94,14.591161999994995
colocated,4096,95,14.54899400000187
colocated,4096,96,16.737012999996637
colocated,4096,97,14.674968000001343
colocated,4096,98,14.833164000002341
